character,defination
桔,<font color='#f00'>ㄐㄧㄝˊ / ㄐㄩˊ</font><br/>• 參見「桔梗」、「桔槔」等條。<br/><font color='#f00'>ㄐㄩˊ</font><br/>• 同「橘」。<br/>
桚,• 「拶」的異體字。<br/>
桫,<font color='#f00'>ㄙㄨㄛ</font><br/>• 參見「桫欏」條。<br/>
桮,<font color='#f00'>ㄅㄟ</font><br/>[名]<br/>• 盛湯、酒等液體的器皿。<br/>
桯,<font color='#f00'>ㄊㄧㄥ / ㄧㄥˊ</font><br/>[名]<br/>• 床前的桌子。<br/><font color='#f00'>ㄧㄥˊ</font><br/>[名]<br/>• 古代車蓋柄下較粗的部分。<br/>• 堂屋前的柱子。<br/>
桲,<font color='#f00'>ㄅㄛˊ</font><br/>[名]<br/>• 一種農具。即用來打穀的連枷。<br/>
桴,<font color='#f00'>ㄈㄨˊ</font><br/>[名]<br/>• 房屋前後簷的橫梁，俗稱為「二梁」。<br/>• 鼓槌。<br/>• 用木、竹編排成的木筏或竹筏。<br/>
桵,<font color='#f00'>ㄖㄨㄟˇ</font><br/>• 參見「白桵」條。<br/>
桶,<font color='#f00'>ㄊㄨㄥˇ</font><br/>[名]<br/>• 圓形的盛物器。<br/>• 量詞。計算桶裝物的單位。<br/>
桷,<font color='#f00'>ㄐㄩㄝˊ</font><br/>[名]<br/>• 方形的屋椽，即榱。<br/>
桹,<font color='#f00'>ㄌㄤˊ</font><br/>[名]<br/>• 漁人用來驅魚的長木棒。<br/>[狀]<br/>• 參見「桹桹」條。<br/>
桼,<font color='#f00'>ㄑㄧ</font><br/>• 同「漆」。<br/>
桿,<font color='#f00'>ㄍㄢˇ</font><br/>[名]<br/>• 細長形的棍狀物。<br/>• 量詞。計算細長物的單位。<br/>
梁,<font color='#f00'>ㄌㄧㄤˊ</font><br/>[名]<br/>• 橋。<br/>• 架在柱上，用來支撐屋頂的橫木。<br/>• 物體隆起的部分。<br/>• 朝代名：(1)南朝蕭衍所建（西元502～556）。建都建康。參見「南朝」條。(2)見 「後梁」條。<br/>• 姓。如春秋時晉國有梁益。<br/>
梃,<font color='#f00'>ㄊㄧㄥˇ</font><br/>[名]<br/>• 棍棒。<br/>• 量詞。古代計算竿狀物的單位。<br/>
梅,<font color='#f00'>ㄇㄟˊ</font><br/>[名]<br/>• 植物名。薔薇科櫻屬，落葉喬木。性耐寒，葉卵形，早春開花，花瓣五片，色紅或白。果實味酸，可食。全國各地均有栽培。<br/>• 姓。宋代有梅堯臣，明代有梅鼎祚。<br/>
梆,<font color='#f00'>ㄅㄤ</font><br/>[名]<br/>• 巡更或號召群眾時，用來敲擊的器具。以竹、木製成。<br/>• 參見「梆子」條。<br/>
梏,<font color='#f00'>ㄍㄨˋ</font><br/>[名]<br/>• 一種古代的刑具。套在人犯的手上限制其行動。<br/>[動]<br/>• 套上、銬住、拘禁。<br/>
梐,<font color='#f00'>ㄅㄧˋ</font><br/>• 參見「梐枑」、「梐梱」等條。<br/>
梒,<font color='#f00'>ㄏㄢˊ</font><br/>[名]<br/>• 櫻桃。<br/>
梓,<font color='#f00'>ㄗˇ</font><br/>[名]<br/>• 植物名。紫葳科梓屬，落葉喬木。葉對生，呈掌狀淺裂。夏日開淡黃色而帶有暗紫斑點的花。木材供建築及製作器具。<br/>• 製作木器的工匠。<br/>• 故鄉。<br/>• 姓。如春秋時鄭國有梓慎。<br/>[動]<br/>• 出版。<br/>
梔,<font color='#f00'>ㄓ</font><br/>[名]<br/>• 植物名。茜草科梔子屬，常綠灌木。葉具短柄，對生。夏開白花，有香氣。果實橢圓，色黃，可入藥，亦可做染料。木質密堅實，可為雕刻用。<br/>[動]<br/>• 染色、塗飾。<br/>
梗,<font color='#f00'>ㄍㄥˇ</font><br/>[名]<br/>• 植物的枝莖。<br/>• 大概。<br/>[動]<br/>• 阻塞。<br/>• 向上挺直。<br/>[形]<br/>• 剛正直爽。<br/>
梜,<font color='#f00'>ㄐㄧㄚˊ / ㄐㄧㄝˊ</font><br/>• 參見「梜提」條。<br/><font color='#f00'>ㄐㄧㄝˊ</font><br/>• (一)之又音。<br/>
條,<font color='#f00'>ㄊㄧㄠˊ</font><br/>[名]<br/>• 細長的樹枝。<br/>• 長條形的物體。<br/>• 項目、條目。<br/>• 次序、系統。<br/>• 量詞：(1) 計算條狀物的單位。如：「一條魚」、「兩條線」、「三條香菸」、「五條裙子」。(2) 計算文書分項的單位。如：「《民法》共有一二二五條。」<br/>[形]<br/>• 長。<br/>• 暢通無阻。<br/>
梟,<font color='#f00'>ㄒㄧㄠ</font><br/>[名]<br/>• 鳥綱鴟鴞科鳥類的總稱。<br/>• 魁首。<br/>• 違法犯禁以圖暴利的人。<br/>• 山顛。<br/>[動]<br/>• 斬首懸頭於木上。<br/>• 斬除、消滅。<br/>[形]<br/>• 驍勇雄健。<br/>
梠,<font color='#f00'>ㄌㄩˇ</font><br/>[名]<br/>• 安裝在屋檐上的橫木，用以聯接屋椽，使之齊平。<br/>
梡,<font color='#f00'>ㄎㄨㄢˇ</font><br/>[名]<br/>• 虞舜時陳列祭品的禮器，形如几案。<br/>
梢,<font color='#f00'>ㄕㄠ</font><br/>[名]<br/>• 樹枝的末端。<br/>• 事物或時間的末尾。<br/>• 小木柴。<br/>• 竿子。<br/>• 旌旗上的飄帶。<br/>
梣,<font color='#f00'>ㄔㄣˊ</font><br/>[名]<br/>• 植物名。木犀科白蠟樹屬，落葉小喬木。奇數羽狀複葉，有柄，基部闊楔形，邊緣有鋸齒。夏開淡綠色花。樹皮可入藥。<br/>
梧,<font color='#f00'>ㄨˊ / ㄨˋ</font><br/>• 參見「梧桐」條。<br/><font color='#f00'>ㄨˋ</font><br/>• 參見「魁梧」條。<br/>
梨,<font color='#f00'>ㄌㄧˊ</font><br/>[名]<br/>• 植物名。薔薇科梨屬，落葉喬木。葉互生，呈卵形或長橢圓形。開白花。果實呈球形，果皮上有赤褐色小斑點，汁多，肉硬。<br/>[動]<br/>• 分離、分割。<br/>
梩,<font color='#f00'>ㄌㄧˊ</font><br/>[名]<br/>• 鍬、臿之類的挖土器具。<br/>
梭,<font color='#f00'>ㄙㄨㄛ</font><br/>[名]<br/>• 織布時用來牽引橫線的器具，兩頭尖，中間粗，絲束放於中空部分。<br/>
梮,<font color='#f00'>ㄐㄩˊ</font><br/>[名]<br/>• 古代送飯食的器具。<br/>• 運土的器具。<br/>• 行走山路時安裝在鞋底的錐形物，有防滑的作用。<br/>
梯,<font color='#f00'>ㄊㄧ</font><br/>[名]<br/>• 木階，登高的器具或設備。<br/>[形]<br/>• 形狀像樓梯一樣。<br/>[動]<br/>• 爬。<br/>
械,<font color='#f00'>ㄒㄧㄝˋ / ㄐㄧㄝˋ</font><br/>[名]<br/>• 鐐銬、枷等刑具。<br/>• 兵器、武器。<br/>• 器物、用具的總稱。<br/><font color='#f00'>ㄐㄧㄝˋ</font><br/>• (一)之又音。<br/>
梱,<font color='#f00'>ㄎㄨㄣˇ</font><br/>[名]<br/>• 門限、門檻。<br/>
梲,<font color='#f00'>ㄓㄨㄛˊ / ㄊㄨㄛ</font><br/>[名]<br/>• 梁上的短柱。<br/><font color='#f00'>ㄊㄨㄛ</font><br/>[名]<br/>• 棍、棒。<br/>
梳,<font color='#f00'>ㄕㄨ</font><br/>[名]<br/>• 整理頭髮的用具。<br/>[動]<br/>• 用梳子整理頭髮。<br/>
梵,<font color='#f00'>ㄈㄢˋ</font><br/>[名]<br/>• 古印度思想中的世界創造原理。為梵語brahma的音譯。古印度婆羅門教認為梵是無所不在的最高實體，修行者最終極的目的就是與之合一。將其神格化則成為宇宙間最高的神，佛教將其歸為天界中的一類。<br/>• 梵語的簡稱。<br/>[形]<br/>• 表示和古印度有關的。<br/>• 表示和佛教有關的。<br/>• 清靜。<br/>
棃,• 「梨」的異體字。<br/>
棄,<font color='#f00'>ㄑㄧˋ</font><br/>[動]<br/>• 拋開、捨去。<br/>[名]<br/>• 人名。周代始祖后稷。相傳他的母親姜原生他以後，曾把他棄置道旁，故以為名。<br/>
棉,<font color='#f00'>ㄇㄧㄢˊ</font><br/>[名]<br/>• 木棉和草棉的統稱。參見「木棉」、「草棉」條。<br/>[形]<br/>• 用棉絮製的。<br/>• 微薄。<br/>
棊,• 「棋」的異體字。<br/>
棋,<font color='#f00'>ㄑㄧˊ / ㄐㄧ</font><br/>[名]<br/>• 一種遊戲。有棋盤、棋子，下棋者依規則移動棋子，以定勝負。有跳棋、圍棋、象棋、五子棋、西洋棋等多種玩法。<br/><font color='#f00'>ㄐㄧ</font><br/>[名]<br/>• 根底、根基。<br/>
棍,<font color='#f00'>ㄍㄨㄣˋ</font><br/>[名]<br/>• 棒子。<br/>• 無賴、不正派的人。<br/>
棐,<font color='#f00'>ㄈㄟˇ</font><br/>[名]<br/>• 使弓弦端正不曲屈的器具。<br/>[動]<br/>• 輔助。<br/>[形]<br/>• 薄。<br/>
棑,• 「棐」的異體字。<br/>
棒,<font color='#f00'>ㄅㄤˋ</font><br/>[名]<br/>• 粗木棍。<br/>• 棒球比賽中依序上場的打擊者，或接力賽跑輪番上陣的選手。<br/>• 引申為工作的傳承或責任的替換。<br/>• 西藏早期宗教的俗稱。為 Bon的音譯。略似於中國的巫、道，所奉者為丹巴嘉饒（智者大師），分左右兩派，棒屬右派，近於喇嘛紅教，以鎮壓妖魔、幻術為主。衣冠皆黑衣，故有黑教之稱。當地人稱為「棒」。<br/>[動]<br/>• 用棍子打。<br/>[形]<br/>• 形容技術高、能力強。<br/>
棓,<font color='#f00'>ㄆㄡˇ / ㄅㄤˋ</font><br/>[名]<br/>• 古人自高而下，鋪在懸絕不平處的踏板，作為墊腳之用。<br/><font color='#f00'>ㄅㄤˋ</font><br/>[名]<br/>• 棍、杖。<br/>• 一種農具。即連枷。農家用來打穀去殼的器具。<br/>
棕,<font color='#f00'>ㄗㄨㄥ</font><br/>• 像棕毛一樣的顏色。<br/>• 參見「棕櫚」條。<br/>
棖,<font color='#f00'>ㄔㄥˊ</font><br/>[名]<br/>• 豎立在門兩旁的長木柱。<br/>[動]<br/>• 碰觸。<br/>
棗,<font color='#f00'>ㄗㄠˇ</font><br/>[名]<br/>• 植物名。鼠李科棗屬，大灌木或喬木。枝傾垂有刺，葉互生，卵形或長橢圓形，邊緣具細鈍鋸齒。花小，黃綠色。所結核果也稱為「棗」，橙黃或暗紅色，橢圓形，可食。種類很多，主要產於亞洲熱帶地區及歐洲南部。<br/>• 姓。如晉代有棗據。<br/>
棘,<font color='#f00'>ㄐㄧˊ</font><br/>[名]<br/>• 植物名。鼠李科棗屬，落葉喬木。幹高三公尺餘。變種形態與棗相似，唯枝具刺。果實較少，呈長圓形或近於圓形，暗紅色，味酸，核先端鈍，核仁可入藥。<br/>• 武器名。長柄，頂端有直刃，兩旁各具橫刀，可直刺或橫擊的兵器。<br/>• 姓。如春秋時衛國有棘子成。<br/>[動]<br/>• 刺。參見「棘手」條。<br/>
棚,<font color='#f00'>ㄆㄥˊ</font><br/>[名]<br/>• 樓閣。<br/>• 用竹木和茅草搭蓋而成的蓬架，有遮陽擋雨的功能。<br/>
棜,<font color='#f00'>ㄩˋ</font><br/>[名]<br/>• 古代祭祀時用來置放酒杯的承盤。長方形，似案，無足。<br/>
棟,<font color='#f00'>ㄉㄨㄥˋ</font><br/>[名]<br/>• 房屋的正梁。<br/>• 量詞。計算房屋建築物的單位。<br/>
棠,<font color='#f00'>ㄊㄤˊ</font><br/>[名]<br/>• 植物名。落葉喬木。有赤、白二種。赤棠木理堅韌，實澀無味；白棠即甘棠，實似梨而小，味酸甘，可食，也稱為「棠梨」。<br/>• 姓。如春秋時有棠衣若。<br/>
棣,<font color='#f00'>ㄉㄧˋ / ㄊㄧˋ</font><br/>[名]<br/>• 植物名。常綠落葉灌木。高四、五尺，葉針形互生，有鋸齒。花五瓣色白，果實如櫻桃，故稱為「山櫻桃」。<br/>• 年紀比自己小的男子。通「弟」。如「賢弟」也作「賢棣」。<br/>• 姓。如漢代有棣立。<br/><font color='#f00'>ㄊㄧˋ</font><br/>[副]<br/>• 通、達。<br/>
棧,<font color='#f00'>ㄓㄢˋ</font><br/>[名]<br/>• 圈養牲畜的柵欄。<br/>• 在山巖上架木通行的路。<br/>• 旅館或倉庫。<br/>• 姓。如三國時魏國有棧潛。<br/>
棨,<font color='#f00'>ㄑㄧˇ</font><br/>[名]<br/>• 古時一種通行的憑證，以木頭刻成，形狀像戟。<br/>• 古代官吏出行時用作前導的一種儀仗。通常以木製成，形狀似戟，上有赤黑色的繒衣套住。<br/>
棫,<font color='#f00'>ㄩˋ</font><br/>[名]<br/>• 植物名。一種叢生的灌木，莖葉多刺，果實黑紫色，可供釀酒食用。<br/>
棬,<font color='#f00'>ㄑㄩㄢ</font><br/>[名]<br/>• 曲木製成的盂。<br/>
森,<font color='#f00'>ㄙㄣ</font><br/>[形]<br/>• 樹木濃密的樣子。<br/>• 灰暗陰冷的樣子。<br/>• 整肅、不可侵犯的。<br/>[副]<br/>• 眾多的。<br/>
棰,<font color='#f00'>ㄔㄨㄟˊ</font><br/>[名]<br/>• 短的木杖、棍棒。<br/>[動]<br/>• 用木杖捶打。《周禮．天官．腊人》「腊人，掌乾肉，凡田獸之脯腊膴胖之事」句下漢．鄭玄．注：「棰之而施薑桂。」<br/>
棱,<font color='#f00'>ㄌㄥˊ</font><br/>[名]<br/>• 木材的四角交接處稱為「棱」。<br/>[形]<br/>• 威嚴。<br/>
棲,<font color='#f00'>ㄑㄧ / ㄒㄧ</font><br/>[動]<br/>• 禽鳥宿於巢。<br/>• 居住、停留。<br/>[名]<br/>• 停留、歇宿的地方。<br/><font color='#f00'>ㄒㄧ</font><br/>• (一)之又音。<br/>
棵,<font color='#f00'>ㄎㄜ</font><br/>[名]<br/>• 量詞。計算植物的單位。<br/>
棶,<font color='#f00'>ㄌㄞˊ</font><br/>[名]<br/>• 棶木：植物名。山茱萸科，落葉喬木。葉對生，橢圓形卵狀，邊緣有不整齊之波狀細齒。核果球形，內藏兩枚種子，為暗紫色。果實可生食，種子供作榨油之用。樹皮可入藥，材質細緻、堅硬，是優良的建築材料。<br/>
棷,<font color='#f00'>ㄗㄡ</font><br/>[名]<br/>• 木柴、柴火。<br/>
棸,<font color='#f00'>ㄗㄡ</font><br/>[名]<br/>• 姓。如晉代有棸籌。<br/>
棹,<font color='#f00'>ㄓㄠˋ / ㄓㄨㄛ</font><br/>[名]<br/>• 船槳。<br/>• 借以指船。<br/>[動]<br/>• 划船、泛舟。<br/><font color='#f00'>ㄓㄨㄛ</font><br/>[名]<br/>• 可放置東西的家具。<br/>
棺,<font color='#f00'>ㄍㄨㄢ</font><br/>[名]<br/>• 裝斂屍體的器具。<br/>
棻,<font color='#f00'>ㄈㄣ</font><br/>[名]<br/>• 有香味的樹木。<br/>[形]<br/>• 茂盛。<br/>
棼,<font color='#f00'>ㄈㄣˊ</font><br/>[名]<br/>• 短梁。<br/>• 麻布。<br/>[動]<br/>• 使紊亂。<br/>
棽,<font color='#f00'>ㄕㄣ</font><br/>• 參見「棽棽」條。<br/>
椀,• 「碗」的異體字。<br/>
椄,<font color='#f00'>ㄐㄧㄝ</font><br/>[動]<br/>• 嫁接花木果樹。<br/>
椅,<font color='#f00'>ㄧˇ / ㄧ</font><br/>[名]<br/>• 有靠背的坐具。<br/><font color='#f00'>ㄧ</font><br/>[名]<br/>• 植物名。即山桐子。大風子科山桐子屬，落葉喬木。樹皮灰白色，葉心形，先端尖銳  。複總狀花序，單性花。球形漿果，紅橙色。木材可製細巧器具、家具。為優良的庭  園樹和行道樹。<br/>
椇,<font color='#f00'>ㄐㄩˇ</font><br/>[名]<br/>• 枳椇：植物名。鼠李科枳椇屬，落葉喬木。樹皮灰色，葉互生，闊卵形，有鋸齒。核果球形，具短梗。果肉紅棕色，味甘美，供食用，亦可釀酒，俗稱為「拐棗」。果實含蘋果酸鉀及葡萄糖，為清涼利尿劑。椇木材質頗佳，可供建築及精緻家具等用途。<br/>• 殷商時代放置祭品的禮器。<br/>
椈,<font color='#f00'>ㄐㄩˊ</font><br/>[名]<br/>• 植物名。即柏。柏科側柏屬，常綠喬木。樹皮紅褐色，作狹條或鱗片狀剝落。小枝遍體為綠葉所包，扁平，由中軸向兩側成羽狀排列。葉十字狀對生，細小鱗片狀。花著生於小枝頂端，雌雄同株。毬果直立，球形或卵狀橢圓形。可供觀賞，材質亦可供製造器具及雕刻用。<br/>
椌,<font color='#f00'>ㄑㄧㄤ</font><br/>[名]<br/>• 樂器名。古代的一種打擊樂器。形似桶，中空。<br/>
植,<font color='#f00'>ㄓˊ</font><br/>[名]<br/>• 門外用來加鎖的直木。<br/>• 花草樹木的總稱。<br/>[動]<br/>• 放置、排放。<br/>• 栽種、培育。<br/>• 樹立。<br/>• 倚靠。<br/>
椎,<font color='#f00'>ㄓㄨㄟ / ㄔㄨㄟˊ</font><br/>[名]<br/>• 敲打東西的器具。如：「鐵椎」。《淮南子．說林》：「椎固有柄，不能自椓」。<br/>• 脊椎骨。參見「椎骨」條。<br/>[動]<br/>• 搥打、敲擊。<br/>[形]<br/>• 樸實笨拙。<br/><font color='#f00'>ㄔㄨㄟˊ</font><br/>• (一)之又音。<br/>
椏,<font color='#f00'>ㄧㄚ</font><br/>[名]<br/>• 分歧而出的樹枝。<br/>
椐,<font color='#f00'>ㄐㄩ</font><br/>[名]<br/>• 一種古書上記載的樹。多枝節，可作枴杖。<br/>
椑,<font color='#f00'>ㄅㄟ / ㄆㄧˊ</font><br/>• 參見「椑柿」條。<br/><font color='#f00'>ㄆㄧˊ</font><br/>[名]<br/>• 橢圓形的盛酒器。<br/>• 斧柄。<br/>
椒,<font color='#f00'>ㄐㄧㄠ</font><br/>[名]<br/>• 參見「秦椒」、「番椒」等條。<br/>• 山頂。<br/>• 姓。如春秋時楚國有椒舉。<br/>
椓,<font color='#f00'>ㄓㄨㄛˊ</font><br/>[名]<br/>• 古代割去男子生殖器的刑法。即宮刑。<br/>[動]<br/>• 擊、砍、敲。<br/>• 告訴。<br/>
椔,<font color='#f00'>ㄗ</font><br/>[名]<br/>• 直立的枯木。<br/>
椪,<font color='#f00'>ㄆㄥˋ</font><br/>• 參見「椪柑」條。<br/>
椰,<font color='#f00'>ㄧㄝˊ</font><br/>• 參見「椰子」條。<br/>
椳,<font color='#f00'>ㄨㄟ</font><br/>[名]<br/>• 門樞。<br/>
椷,<font color='#f00'>ㄐㄧㄢ</font><br/>[名]<br/>• 木篋、木箱。<br/>• 書信。<br/>
椸,<font color='#f00'>ㄧˊ</font><br/>[名]<br/>• 衣架。<br/>
椹,<font color='#f00'>ㄓㄣ / ㄕㄣˋ</font><br/>• 同「砧」。<br/><font color='#f00'>ㄕㄣˋ</font><br/>[名]<br/>• 桑樹的果實。<br/>• 木頭上所生的菌類。<br/>
椽,<font color='#f00'>ㄔㄨㄢˊ</font><br/>[名]<br/>• 架在桁上用以承接木條及屋頂的木材。<br/>
椿,<font color='#f00'>ㄔㄨㄣ</font><br/>[名]<br/>• 植物名。楝科香椿屬，落葉喬木。高三四丈，夏日開白花。嫩葉可食用，木材可製琴。<br/>• 比喻父親。<br/>[形]<br/>• 高齡。古代傳說上古有大椿，為千年大木，故用以形容長壽。<br/>
楂,<font color='#f00'>ㄓㄚ / ㄔㄚˊ</font><br/>• 參見「山楂」條。<br/><font color='#f00'>ㄔㄚˊ</font><br/>[名]<br/>• 木筏。<br/>• 砍伐後所留的樹樁。<br/>
楄,<font color='#f00'>ㄆㄧㄢˊ / ㄅㄧㄢ</font><br/>[名]<br/>• 方木。<br/>• 扁額。<br/>• 一種古書上的樹木。<br/><font color='#f00'>ㄅㄧㄢ</font><br/>• (一)之又音。<br/>
楅,<font color='#f00'>ㄈㄨˊ / ㄅㄧˋ</font><br/>[名]<br/>• 古代盛列弓箭的器具。<br/>• 參見「楅衡」條。<br/><font color='#f00'>ㄅㄧˋ</font><br/>• (一)之又音。<br/>
楈,<font color='#f00'>ㄒㄩ</font><br/>• 參見「楈枒」條。<br/>
楊,<font color='#f00'>ㄧㄤˊ</font><br/>[名]<br/>• 楊柳科楊屬喬木的統稱。與柳相似，枝條上挺，種子有白絮。種類很多，有銀白楊、毛白楊等。<br/>• 戰國時代楊朱及其學派的簡稱。<br/>• 姓。如漢代有楊震。<br/>
楎,<font color='#f00'>ㄏㄨㄣˊ</font><br/>[名]<br/>• 懸掛衣服的架子。<br/>
楓,<font color='#f00'>ㄈㄥ</font><br/>[名]<br/>• 植物名。金縷梅科楓香屬，落葉大喬木。葉互生，菱形，掌狀分裂為三，邊緣有細鋸齒。單性花，雌雄同株。春季抽新葉並開黃褐色花。蒴果集生。木材可供建築箱櫃之用。秋間葉落前，葉色由黃而紅，甚為美觀，故常栽培為庭園樹。<br/>
楔,<font color='#f00'>ㄒㄧㄝˋ / ㄒㄧㄝ</font><br/>[名]<br/>• 上平厚、下尖扁的木塊。塞在榫頭縫隙中，使之固定。<br/>• 門兩旁的木柱。<br/>• 植物名。即櫻桃。薔薇科櫻屬，落葉喬木。葉橢圓形，有鋸齒。春夏間開小花，色白。果實小如毬，熟則紅，可食用。<br/><font color='#f00'>ㄒㄧㄝ</font><br/>• (一)之又音。<br/>
楖,<font color='#f00'>ㄐㄧㄝˊ / ㄐㄧˊ</font><br/>[名]<br/>• 楖人：古代製造木器的工人。<br/><font color='#f00'>ㄐㄧˊ</font><br/>[名]<br/>• 楖栗：一種樹木。可作枴杖。<br/>
楗,<font color='#f00'>ㄐㄩㄢˋ</font><br/>[形]<br/>• 馬疲累跛行的樣子。<br/>
楙,<font color='#f00'>ㄇㄠˋ / ㄇㄡˋ</font><br/>[名]<br/>• 植物名。即木瓜。薔薇科木瓜屬，落葉灌木或小喬木。葉橢圓狀卵形，邊緣鋸齒細銳，五月開淡紅色花。果實長橢圓形，深黃色，可食。<br/>[形]<br/>• 林木茂盛的樣子。<br/><font color='#f00'>ㄇㄡˋ</font><br/>• (一)之又音。<br/>
楚,<font color='#f00'>ㄔㄨˇ</font><br/>[形]<br/>• 痛苦。<br/>• 清晰、整齊。<br/>• 鮮明、華麗。<br/>[名]<br/>• 古時教師用以責罰學生的小杖。<br/>• 國名：(1) 周成王封熊繹於楚，春秋時稱王，為戰國七雄之一。領有今大陸地區湖南、湖北、安徽、浙江及河南南部，後為秦所滅。(2) 五代時馬殷所建，為五代十國之一。有今大陸地區湖南及廣西東部等地，後為南唐所滅。<br/>• 大陸地區湖南、湖北的通稱。或專指大陸地區湖北而言。<br/>• 植物名。馬鞭草科蔓荊屬，落葉灌木。葉為掌狀複葉，邊緣有細鋸齒。七八月間開淡黃紫色花。<br/>• 姓。如宋代有楚公輔。<br/>[動]<br/>• 拷打。<br/>
楛,<font color='#f00'>ㄏㄨˋ / ㄎㄨˇ</font><br/>[名]<br/>• 一種似荊而色紅的植物，莖可作箭桿。<br/><font color='#f00'>ㄎㄨˇ</font><br/>[形]<br/>• 粗劣不堅固。<br/>• 比喻不正當。<br/>
楝,<font color='#f00'>ㄌㄧㄢˋ</font><br/>[名]<br/>• 植物名。楝科楝屬，落葉喬木。羽狀複葉，小葉呈卵形或披針形。花序呈複總狀，花軸、花梗及萼皆有細毛。果實呈核果狀，種子為長橢圓形，稱為「金鈴子」，可供藥用。<br/>
楞,<font color='#f00'>ㄌㄥˊ / ㄌㄥˋ</font><br/>[名]<br/>• 物體的緣角。<br/>• 佛經翻譯用字。如：《楞伽經》、《楞嚴經》。<br/><font color='#f00'>ㄌㄥˋ</font><br/>• 同「愣」。<br/>
楠,<font color='#f00'>ㄋㄢˊ</font><br/>[名]<br/>• 植物名。樟科楨楠屬，常綠喬木。高者十餘丈，葉為長橢圓形，花淡綠，實紫黑。木材堅密芳香，為棟梁器具均佳。<br/>
楢,<font color='#f00'>ㄧㄡˊ</font><br/>[名]<br/>• 植物名。殼斗科麻櫟屬，落葉喬木。樹皮暗灰色，有縱行長裂紋。葉形呈倒長卵形，邊緣有粗鋸齒，密布絹絲狀細毛。春日開花，排列成細長的疏穗狀花序。果實為堅果，橢圓形，表面有細小的鱗片。木材堅韌，可製器具。<br/>
楣,<font color='#f00'>ㄇㄟˊ</font><br/>[名]<br/>• 屋簷口椽端的封簷板。<br/>• 門框的上橫部分。<br/>• 兩柱之間所架的橫木，即屋梁。<br/>
楥,<font color='#f00'>ㄒㄩㄢˋ</font><br/>[名]<br/>• 製鞋的木質模型。<br/>
楦,<font color='#f00'>ㄒㄩㄢˋ</font><br/>[名]<br/>• 做鞋的木質模型。<br/>[動]<br/>• 用鞋樣器撐填鞋子，以保持鞋樣不變或撐大鞋子。<br/>• 用紙或乾草等填塞物體的空隙。<br/>
楨,<font color='#f00'>ㄓㄣ</font><br/>[名]<br/>• 古代築牆時立在兩端的木柱。<br/>• 支柱、主幹。<br/>• 植物名。木犀科，常綠灌木或喬木。高丈餘，葉呈卵形，皮質厚而有光澤，夏日開 白花，果實橢圓而黑，可入藥。材質可供造船、建築及觀賞用。<br/>
楩,<font color='#f00'>ㄆㄧㄢˊ</font><br/>[名]<br/>• 一種古書上的樹木。<br/>
楪,<font color='#f00'>ㄉㄧㄝˊ</font><br/>[名]<br/>• 底部平而淺，用來盛食物等的小盤子。《太平廣記．卷二二○．劉錄事》：「乃寘（珠）於茶甌中，以楪覆之。食未半，怪覆甌楪傾側。」清．紀昀《閱微草堂筆記．卷四．灤陽消夏錄四》：「則几設色小楪，縱橫狼藉，畫筆亦濡染幾遍，圖已成矣。」也作「碟」。<br/>• 量詞。計算碟裝物的單位。<br/>
楫,<font color='#f00'>ㄐㄧˊ</font><br/>[名]<br/>• 行船划水用的槳。<br/>
楬,<font color='#f00'>ㄐㄧㄝˊ / ㄑㄧㄚˋ</font><br/>[名]<br/>• 標識事物的小木樁。<br/><font color='#f00'>ㄑㄧㄚˋ</font><br/>[名]<br/>• 樂器名。即敔。一種木製的打擊樂器，形似伏虎。演奏時，以一端剖成細條的竹筒，逆刮虎背鋸齒，以示樂曲終結。<br/>
業,<font color='#f00'>ㄧㄝˋ / ㄋㄧㄝˋ</font><br/>[名]<br/>• 古代樂器架子橫木上的大版，狀如鋸齒，可以懸掛鐘、鼓、磬等。<br/>• 社會上的各種工作職務。<br/>• 學習的內容或過程。<br/>• 財產。<br/>• 功績。<br/>• 佛教用語。梵語 karma的意譯。佛教上指有意志的行為，包括身體、言語和心識等三業。<br/>[動]<br/>• 從事某種工作。<br/>• 繼承。<br/>[形]<br/>• 參見「業業」條。<br/>[副]<br/>• 已經。<br/><font color='#f00'>ㄋㄧㄝˋ</font><br/>[名]<br/>• 的又音。<br/>
楮,<font color='#f00'>ㄔㄨˇ</font><br/>[名]<br/>• 植物名。桑科楮屬，落葉灌木。葉為卵形或闊卵形，單性花，樹皮可為造紙的原料。<br/>• 紙。<br/>• 紙幣。宋金元三代多以楮皮紙製成紙幣，故借指紙幣。<br/>• 俗稱祭祀用的冥錢為「楮」。<br/>• 姓。如明代有楮山。<br/>
楯,<font color='#f00'>ㄕㄨㄣˇ</font><br/>[名]<br/>• 欄杆的橫木，泛指欄杆。<br/>• 古代用來抵禦敵人兵刃及保護自己的兵器。<br/>
楰,<font color='#f00'>ㄩˊ</font><br/>[名]<br/>• 古書上記載的一種楸樹。即鼠梓。葉大如桐樹而黑。<br/>
楱,<font color='#f00'>ㄘㄡˋ</font><br/>[名]<br/>• 一種橘子之類的果樹。<br/>
