character,defination
侢,<big><font color='#f00' style='font-family: serif !important;'>dài</font></big><br>• old variant of 戴[dài]<br>
侮,<font color='#f00'>ㄨˇ</font><br>• to insult<br>• to ridicule<br>• to disgrace<br>
侯,<font color='#f00'>ㄏㄡˊ</font><br>• marquis, second of the five orders of ancient Chinese nobility 五等爵位[wǔ děng jué wèi]<br>• nobleman or high official<br>
侵,<font color='#f00'>ㄑㄧㄣ</font><br>• to invade<br>• to encroach<br>• to infringe<br>• to approach<br>
侶,<font color='#f00'>ㄌㄩˇ</font><br>• companion<br>
侷,<font color='#f00'>ㄐㄩˊ</font><br>• narrow<br>
侽,<big><font color='#f00' style='font-family: serif !important;'>nán</font></big><br>• old variant of 男[nán]<br>
便,<font color='#f00'>ㄅㄧㄢˋ / ㄆㄧㄢˊ</font><br>• plain<br>• informal<br>• suitable<br>• convenient<br>• opportune<br>• to urinate or defecate<br>• equivalent to 就[jiù]: then<br>• in that case<br>• even if<br>• soon afterwards<br>
俁,<font color='#f00'>ㄩˇ</font><br>• big<br>
係,<font color='#f00'>ㄒㄧˋ</font><br>• to connect<br>• to relate to<br>• to tie up<br>• to bind<br>• to be (literary)<br>
促,<font color='#f00'>ㄘㄨˋ</font><br>• urgent<br>• hurried<br>• to urge<br>• to promote<br>• to urge haste<br>• close<br>• intimate<br>
俄,<font color='#f00'>ㄜˊ</font><br>• Russia<br>• Russian<br>• abbr. for 俄羅斯|俄罗斯[É luó sī]<br>• Taiwan pr. [È]<br>
俅,<font color='#f00'>ㄑㄧㄡˊ</font><br>• ornamental cap<br>
俉,<big><font color='#f00' style='font-family: serif !important;'>wú</font></big><br>• see 逢俉[féng wú], to come across sth scary<br>• to have a fright<br>
俊,<font color='#f00'>ㄐㄩㄣˋ</font><br>• smart<br>• eminent<br>• handsome<br>• talented<br>
俎,<font color='#f00'>ㄗㄨˇ</font><br>• a stand for food at sacrifice<br>
俏,<font color='#f00'>ㄑㄧㄠˋ</font><br>• good-looking<br>• charming<br>• (of goods) in great demand<br>• (coll.) to season (food)<br>
俐,<font color='#f00'>ㄌㄧˋ</font><br>• clever<br>
俑,<font color='#f00'>ㄩㄥˇ</font><br>• wooden figures buried with the dead<br>
俓,<font color='#f00'>ㄐㄧㄥˋ</font><br>• straight<br>• pass<br>
俔,<font color='#f00'>ㄑㄧㄢˋ / ㄒㄧㄢˋ</font><br>• (old) like<br>• as<br>
俗,<font color='#f00'>ㄙㄨˊ</font><br>• custom<br>• convention<br>• popular<br>• common<br>• coarse<br>• vulgar<br>• secular<br>
俘,<font color='#f00'>ㄈㄨˊ</font><br>• to take prisoner<br>• prisoner of war<br>
俚,<font color='#f00'>ㄌㄧˇ</font><br>• rustic<br>• vulgar<br>• unrefined<br>• abbr. for 俚語|俚语[lǐ yǔ], slang<br>
俛,<font color='#f00'>ㄈㄨˇ / ㄇㄧㄢˇ</font><br>• to exhort<br>
俜,<font color='#f00'>ㄆㄧㄥ</font><br>• to send<br>• to let go<br>
保,<font color='#f00'>ㄅㄠˇ</font><br>• to defend<br>• to protect<br>• to keep<br>• to guarantee<br>• to ensure<br>
俞,<font color='#f00'>ㄩˊ / ㄕㄨ / ㄩˋ</font><br>• variant of 腧[shù]<br>
俟,<font color='#f00'>ㄙˋ / ㄑㄧˊ</font><br>• see 万俟[Mò qí]<br>
俠,<font color='#f00'>ㄒㄧㄚˊ / ㄐㄧㄚˊ</font><br>• knight-errant<br>• brave and chivalrous<br>• hero<br>• heroic<br>
信,<font color='#f00'>ㄒㄧㄣˋ / ㄕㄣ</font><br>• letter<br>• mail<br>• CL:封[fēng]<br>• to trust<br>• to believe<br>• to profess faith in<br>• truthful<br>• confidence<br>• trust<br>• at will<br>• at random<br>
俤,<big><font color='#f00' style='font-family: serif !important;'>dì</font></big><br>• variant of 弟[dì]<br>
修,<font color='#f00'>ㄒㄧㄡ</font><br>• to decorate<br>• to embellish<br>• to repair<br>• to build<br>• to write<br>• to cultivate<br>• to study<br>• to take (a class)<br>
俯,<font color='#f00'>ㄈㄨˇ</font><br>• to look down<br>• to stoop<br>
俱,<font color='#f00'>ㄐㄩˋ / ㄐㄩ</font><br>• entirely<br>• without exception<br>• (literary) to be together<br>• to be alike<br>
俲,<big><font color='#f00' style='font-family: serif !important;'>xiào</font></big><br>• variant of 傚|效[xiào]<br>
俳,<font color='#f00'>ㄆㄞˊ</font><br>• not serious<br>• variety show<br>
俴,<font color='#f00'>ㄐㄧㄢˋ</font><br>• short<br>• shallow<br>• thin plate<br>
俵,<font color='#f00'>ㄅㄧㄠˇ</font><br>• to distribute<br>
俶,<font color='#f00'>ㄔㄨˋ</font><br>• to begin<br>
俷,<big><font color='#f00' style='font-family: serif !important;'>fèi</font></big><br>• (meaning unclear)<br>• to renounce<br>• to abandon<br>
俸,<font color='#f00'>ㄈㄥˋ</font><br>• salary<br>
俺,<font color='#f00'>ㄢˇ / ㄧㄢˋ</font><br>• I (northern dialects)<br>
俻,<big><font color='#f00' style='font-family: serif !important;'>bèi</font></big><br>• variant of 備|备[bèi]<br>
俾,<font color='#f00'>ㄅㄧˋ / ㄅㄟ</font><br>• to cause<br>• to enable<br>• phonetic bi<br>• Taiwan pr. [bì]<br>
倀,<font color='#f00'>ㄔㄤ</font><br>• ghost of sb devoured by a tiger who helps the tiger devour others<br>
倂,<big><font color='#f00' style='font-family: serif !important;'>bìng</font></big><br>• variant of 併|并[bìng]<br>
倃,<big><font color='#f00' style='font-family: serif !important;'>jiù</font></big><br>• to malign<br>• to slander<br>
倅,<font color='#f00'>ㄘㄨㄟˋ</font><br>• auxiliary<br>• spare<br>• deputy<br>• second<br>• sub-<br>
倆,<font color='#f00'>ㄌㄧㄤˇ / ㄌㄧㄚˇ</font><br>• two (colloquial equivalent of 兩個|两个)<br>• both<br>• some<br>
倉,<font color='#f00'>ㄘㄤ</font><br>• barn<br>• granary<br>• storehouse<br>• cabin<br>• hold (in ship)<br>
個,<font color='#f00'>ㄍㄜˋ / ㄍㄜˇ / ˙ㄍㄜ</font><br>• individual<br>• this<br>• that<br>• size<br>• classifier for people or objects in general<br>
倌,<font color='#f00'>ㄍㄨㄢ</font><br>• keeper of domestic animals<br>• herdsman<br>• (old) hired hand in certain trade<br>
倍,<font color='#f00'>ㄅㄟˋ</font><br>• (two, three etc) -fold<br>• times (multiplier)<br>• double<br>• to increase or multiply<br>
倏,<font color='#f00'>ㄕㄨˋ</font><br>• sudden<br>• abrupt<br>• Taiwan pr. [shù]<br>
倐,<big><font color='#f00' style='font-family: serif !important;'>shū</font></big><br>• variant of 倏[shū]<br>
們,<font color='#f00'>ㄇㄣˊ / ˙ㄇㄣ</font><br>• plural marker for pronouns, and nouns referring to individuals<br>
倒,<font color='#f00'>ㄉㄠˇ / ㄉㄠˋ</font><br>• to fall<br>• to collapse<br>• to lie horizontally<br>• to overthrow<br>• to fail<br>• to go bankrupt<br>• to change (trains or buses)<br>• to move around<br>• to resell at a profit<br>
倓,<font color='#f00'>ㄊㄢˊ</font><br>• quiet<br>• peaceful<br>
倔,<font color='#f00'>ㄐㄩㄝˊ / ㄐㄩㄝˋ</font><br>• crabby<br>• tough<br>
倖,<font color='#f00'>ㄒㄧㄥˋ</font><br>• trusted<br>• intimate<br>• (of the emperor) to visit<br>• variant of 幸[xìng]<br>
倘,<font color='#f00'>ㄊㄤˇ / ㄔㄤˊ</font><br>• see 倘佯[cháng yáng]<br>
候,<font color='#f00'>ㄏㄡˋ</font><br>• to wait<br>• to inquire after<br>• to watch<br>• season<br>• climate<br>• (old) period of five days<br>
倚,<font color='#f00'>ㄧˇ</font><br>• to lean on<br>• to rely upon<br>
倜,<font color='#f00'>ㄊㄧˋ</font><br>• energetic<br>• exalted<br>• magnanimous<br>
倝,<font color='#f00'>ㄍㄢˋ</font><br>• dawn (archaic)<br>
倞,<font color='#f00'>ㄌㄧㄤˋ / ㄐㄧㄥˋ</font><br>• strong<br>• powerful<br>
借,<font color='#f00'>ㄐㄧㄝˋ</font><br>• to lend<br>• to borrow<br>• by means of<br>• to take (an opportunity)<br>
倡,<font color='#f00'>ㄔㄤˋ / ㄔㄤ</font><br>• to initiate<br>• to instigate<br>• to introduce<br>• to lead<br>
倢,<font color='#f00'>ㄐㄧㄝˊ</font><br>• handsome<br>
倣,<font color='#f00'>ㄈㄤˇ</font><br>• variant of 仿[fǎng]<br>
値,<big><font color='#f00' style='font-family: serif !important;'>zhí</font></big><br>• variant of 值[zhí]<br>
倥,<font color='#f00'>ㄎㄨㄥ / ㄎㄨㄥˇ</font><br>• ignorant<br>• blank-minded<br>
倦,<font color='#f00'>ㄐㄩㄢˋ</font><br>• tired<br>
倨,<font color='#f00'>ㄐㄩˋ</font><br>• haughty<br>• arrogant<br>
倩,<font color='#f00'>ㄑㄧㄢˋ</font><br>• pretty<br>• winsome<br>• to ask for sb's help<br>• son-in-law (old)<br>
倪,<font color='#f00'>ㄋㄧˊ</font><br>• (literary) small child<br>• limit<br>• bound<br>• extremity<br>• to differentiate<br>• origin<br>• cause<br>
倫,<font color='#f00'>ㄌㄨㄣˊ</font><br>• human relationship<br>• order<br>• coherence<br>
倬,<font color='#f00'>ㄓㄨㄛˊ</font><br>• noticeable<br>• large<br>• clear<br>• distinct<br>• Taiwan pr. [zhuó]<br>
倭,<font color='#f00'>ㄨㄛ / ㄨㄛˇ / ㄨㄟ</font><br>• dwarf<br>• Japanese (derog.) (old)<br>
倮,<font color='#f00'>ㄌㄨㄛˇ</font><br>• variant of 裸[luǒ]<br>
倵,<big><font color='#f00' style='font-family: serif !important;'>wǔ</font></big><br>• (used in given names)<br>
倶,<big><font color='#f00' style='font-family: serif !important;'>jù</font></big><br>• variant of 俱[jù]<br>• variant of 具[jù]<br>
倷,<font color='#f00'>ㄋㄞˇ</font><br>• you (dialect)<br>
倸,<big><font color='#f00' style='font-family: serif !important;'>cǎi</font></big><br>• variant of 睬[cǎi]<br>
倻,<big><font color='#f00' style='font-family: serif !important;'>yē</font></big><br>• phonetic ya used in Korean names<br>• variant of 伽[jiā]<br>
值,<font color='#f00'>ㄓˊ / ㄓˋ</font><br>• value<br>• (to be) worth<br>• to happen to<br>• to be on duty<br>
倽,<big><font color='#f00' style='font-family: serif !important;'>shá</font></big><br>• old variant of 啥[shá]<br>
偁,<font color='#f00'>ㄔㄥ</font><br>• variant of 稱|称[chēng]<br>
偃,<font color='#f00'>ㄧㄢˇ</font><br>• to lie supine<br>• to stop<br>• to fall down<br>
假,<font color='#f00'>ㄐㄧㄚˇ / ㄐㄧㄚˋ</font><br>• fake<br>• false<br>• artificial<br>• to borrow<br>• if<br>• suppose<br>
偈,<font color='#f00'>ㄐㄧㄝˊ / ㄐㄧˋ</font><br>• Buddhist hymn<br>• gatha<br>• Buddhist verse<br>
偉,<font color='#f00'>ㄨㄟˇ</font><br>• big<br>• large<br>• great<br>
偌,<font color='#f00'>ㄖㄨㄛˋ</font><br>• so<br>• such<br>• to such a degree<br>
偎,<font color='#f00'>ㄨㄟ</font><br>• to cuddle<br>
偏,<font color='#f00'>ㄆㄧㄢ</font><br>• to lean<br>• to slant<br>• oblique<br>• prejudiced<br>• to deviate from average<br>• to stray from the intended line<br>• stubbornly<br>• contrary to expectations<br>• left-hand side of a split Chinese character, often the key or radical<br>
偓,<font color='#f00'>ㄨㄛˋ</font><br>• constrained<br>
偕,<font color='#f00'>ㄒㄧㄝˊ / ㄐㄧㄝ</font><br>• in company with<br>
偘,<big><font color='#f00' style='font-family: serif !important;'>kǎn</font></big><br>• old variant of 侃[kǎn]<br>
做,<font color='#f00'>ㄗㄨㄛˋ</font><br>• to do<br>• to make<br>• to produce<br>• to write<br>• to compose<br>• to act as<br>• to engage in<br>• to hold (a party)<br>• to be<br>• to become<br>• to function (in some capacity)<br>• to serve as<br>• to be used for<br>• to form (a bond or relationship)<br>• to pretend<br>• to feign<br>• to act a part<br>• to put on appearance<br>
停,<font color='#f00'>ㄊㄧㄥˊ</font><br>• to stop<br>• to halt<br>• to park (a car)<br>
偝,<font color='#f00'>ㄅㄟˋ</font><br>• to disobey<br>• to stand back-to-back<br>
偟,<font color='#f00'>ㄏㄨㄤˊ</font><br>• agitated<br>• alarmed<br>
偢,<font color='#f00'>ㄔㄡˇ</font><br>• to stare at<br>
健,<font color='#f00'>ㄐㄧㄢˋ</font><br>• healthy<br>• to invigorate<br>• to strengthen<br>• to be good at<br>• to be strong in<br>
偨,<big><font color='#f00' style='font-family: serif !important;'>cī</font></big><br>• uneven<br>
偩,<font color='#f00'>ㄈㄨˋ</font><br>• to rely on<br>• to resemble<br>
偪,<font color='#f00'>ㄅㄧ / ㄈㄨˊ</font><br>• variant of 逼[bī]<br>• to compel<br>• to pressure<br>
偫,<big><font color='#f00' style='font-family: serif !important;'>zhì</font></big><br>• to wait for<br>• to lay in<br>
偭,<font color='#f00'>ㄇㄧㄢˇ</font><br>• to transgress<br>
偯,<font color='#f00'>ㄧˇ</font><br>• to sob<br>• wail<br>
偰,<font color='#f00'>ㄒㄧㄝˋ</font><br>• variant of 契[qì]<br>• contract<br>
偱,<big><font color='#f00' style='font-family: serif !important;'>xún</font></big><br>• to tell<br>
偲,<font color='#f00'>ㄙ / ㄙㄞ</font><br>• talented<br>• urgent<br>
側,<font color='#f00'>ㄘㄜˋ / ㄗㄜˋ</font><br>• the side<br>• to incline towards<br>• to lean<br>• inclined<br>• lateral<br>• side<br>
偵,<font color='#f00'>ㄓㄣ</font><br>• to scout<br>• to spy<br>• to detect<br>
偶,<font color='#f00'>ㄡˇ</font><br>• accidental<br>• image<br>• pair<br>• mate<br>
偷,<font color='#f00'>ㄊㄡ</font><br>• to steal<br>• to pilfer<br>• to snatch<br>• thief<br>• stealthily<br>
偸,<big><font color='#f00' style='font-family: serif !important;'>tōu</font></big><br>• variant of 偷[tōu]<br>
偺,<font color='#f00'>ㄗㄢˊ / ㄗㄚˊ</font><br>• variant of 咱[zán]<br>
偽,<font color='#f00'>ㄨㄟˋ</font><br>• false<br>• fake<br>• forged<br>• bogus<br>• Taiwan pr. [wèi]<br>
傀,<font color='#f00'>ㄎㄨㄟˇ / ㄍㄨㄟ</font><br>• grand<br>• strange<br>• exotic<br>
傅,<font color='#f00'>ㄈㄨˋ</font><br>• tutor<br>
傈,<font color='#f00'>ㄌㄧˋ</font><br>• Lisu ethnic group of Yunnan<br>• see 傈僳[Lì sù]<br>
傌,<font color='#f00'>ㄇㄚˋ / ㄇㄚˇ</font><br>• variant of 罵|骂[mà]<br>
傍,<font color='#f00'>ㄅㄤˋ / ㄅㄤ / ㄆㄤˊ</font><br>• near<br>• approaching<br>• to depend on<br>• (slang) to have an intimate relationship with sb<br>• Taiwan pr. [páng], [bāng], [bàng]<br>
傎,<font color='#f00'>ㄉㄧㄢ</font><br>• inversion<br>• mistake<br>
傑,<font color='#f00'>ㄐㄧㄝˊ</font><br>• hero<br>• heroic<br>• outstanding person<br>• prominent<br>• distinguished<br>
傒,<font color='#f00'>ㄒㄧ / ㄒㄧˋ</font><br>• (old) native of Jiangxi 江西[Jiāng xī]<br>• to wait<br>• servant<br>• path<br>
傓,<big><font color='#f00' style='font-family: serif !important;'>shān</font></big><br>• old variant of 煽[shān]<br>
傔,<font color='#f00'>ㄑㄧㄢˋ</font><br>• servant<br>
傣,<font color='#f00'>ㄉㄞˇ</font><br>• Dai (ethnic group)<br>
傕,<font color='#f00'>ㄐㄩㄝˊ</font><br>• used in old names<br>
傖,<font color='#f00'>ㄘㄤ / ㄔㄥˊ</font><br>• low fellow<br>• rustic<br>• rude<br>• rough<br>
傘,<font color='#f00'>ㄙㄢˇ</font><br>• umbrella<br>• parasol<br>• CL:把[bǎ]<br>
備,<font color='#f00'>ㄅㄟˋ</font><br>• to prepare<br>• get ready<br>• to provide or equip<br>
傚,<font color='#f00'>ㄒㄧㄠˋ</font><br>• variant of 效[xiào]<br>• to imitate<br>
傜,<font color='#f00'>ㄧㄠˊ</font><br>• Yao tribe<br>
傞,<font color='#f00'>ㄙㄨㄛ</font><br>• uneven<br>• unsteady (in dancing)<br>
傢,<font color='#f00'>ㄐㄧㄚ</font><br>• see 傢伙|家伙[jiā huo]<br>
催,<font color='#f00'>ㄘㄨㄟ</font><br>• to urge<br>• to press<br>• to prompt<br>• to rush sb<br>• to hasten sth<br>• to expedite<br>
傭,<font color='#f00'>ㄩㄥ / ㄩㄥˊ</font><br>• to hire<br>• to employ<br>• servant<br>• hired laborer<br>• domestic help<br>
傮,<big><font color='#f00' style='font-family: serif !important;'>zāo</font></big><br>• finish, to go around<br>
傯,<font color='#f00'>ㄗㄨㄥˇ</font><br>• busy<br>• hurried<br>• despondent<br>
傲,<font color='#f00'>ㄠˋ</font><br>• proud<br>• arrogant<br>• to despise<br>• unyielding<br>• to defy<br>
傳,<font color='#f00'>ㄔㄨㄢˊ / ㄓㄨㄢˋ</font><br>• to pass on<br>• to spread<br>• to transmit<br>• to infect<br>• to transfer<br>• to circulate<br>• to conduct (electricity)<br>
傴,<font color='#f00'>ㄩˇ</font><br>• hunchbacked<br>
債,<font color='#f00'>ㄓㄞˋ</font><br>• debt<br>• CL:筆|笔[bǐ]<br>
傷,<font color='#f00'>ㄕㄤ</font><br>• to injure<br>• injury<br>• wound<br>
傺,<font color='#f00'>ㄔˋ</font><br>• to detain<br>• to hinder<br>
傻,<font color='#f00'>ㄕㄚˇ</font><br>• foolish<br>
傾,<font color='#f00'>ㄑㄧㄥ / ㄎㄥ</font><br>• to overturn<br>• to collapse<br>• to lean<br>• to tend<br>• to incline<br>• to pour out<br>
傿,<font color='#f00'>ㄧㄢˋ</font><br>• fraudulent price<br>
僂,<font color='#f00'>ㄌㄡˊ</font><br>• hunchback<br>
僃,<big><font color='#f00' style='font-family: serif !important;'>bèi</font></big><br>• old variant of 備|备[bèi]<br>
僄,<font color='#f00'>ㄆㄧㄠˋ / ㄆㄧㄠ</font><br>• light<br>• airy<br>
僅,<font color='#f00'>ㄐㄧㄣˇ / ㄐㄧㄣˋ</font><br>• barely<br>• only<br>• merely<br>
僇,<font color='#f00'>ㄌㄨˋ</font><br>• to despise<br>• to insult<br>
僉,<font color='#f00'>ㄑㄧㄢ</font><br>• all<br>
僊,<font color='#f00'>ㄒㄧㄢ</font><br>• variant of 仙[xiān]<br>
働,<big><font color='#f00' style='font-family: serif !important;'>xx</font></big><br>• (Japanese kokuji) labor<br>• work<br>
僎,<font color='#f00'>ㄓㄨㄢˋ</font><br>• collect<br>
像,<font color='#f00'>ㄒㄧㄤˋ</font><br>• to resemble<br>• to be like<br>• to look as if<br>• such as<br>• appearance<br>• image<br>• portrait<br>• image under a mapping (math.)<br>
僑,<font color='#f00'>ㄑㄧㄠˊ</font><br>• emigrant<br>• to reside abroad<br>
僔,<font color='#f00'>ㄗㄨㄣˇ</font><br>• to congregate<br>• to crowd<br>
僕,<font color='#f00'>ㄆㄨˊ</font><br>• servant<br>
僖,<font color='#f00'>ㄒㄧ</font><br>• cautious<br>• merry<br>• joyful<br>
僚,<font color='#f00'>ㄌㄧㄠˊ</font><br>• bureaucrat<br>• colleague<br>
僜,<font color='#f00'>ㄉㄥ</font><br>• Deng ethnic minority of Tibet<br>
僝,<font color='#f00'>ㄔㄢˊ</font><br>• to revile<br>• to abuse<br>
僞,<big><font color='#f00' style='font-family: serif !important;'>wěi</font></big><br>• variant of 偽|伪[wěi]<br>
僣,<big><font color='#f00' style='font-family: serif !important;'>jiàn</font></big><br>• to overstep one's authority<br>• to usurp<br>
僤,<font color='#f00'>ㄉㄢˋ</font><br>• great<br>• severe<br>
僥,<font color='#f00'>ㄐㄧㄠˇ / ㄧㄠˊ</font><br>• by mere luck<br>
僦,<font color='#f00'>ㄐㄧㄡˋ</font><br>• hire<br>• to rent<br>
僧,<font color='#f00'>ㄙㄥ</font><br>• monk<br>• Sangha, the Buddhist monastic order<br>
僨,<font color='#f00'>ㄈㄣˋ</font><br>• to instigate<br>• to ruin<br>• to destroy<br>
僩,<font color='#f00'>ㄒㄧㄢˋ</font><br>• courageous<br>• valiant<br>
僬,<font color='#f00'>ㄐㄧㄠ</font><br>• see 僬僬[jiāo jiāo]<br>
僭,<font color='#f00'>ㄐㄧㄢˋ</font><br>• to usurp<br>
僮,<font color='#f00'>ㄊㄨㄥˊ / ㄓㄨㄤˋ</font><br>• servant boy<br>
僯,<big><font color='#f00' style='font-family: serif !important;'>lǐn</font></big><br>• ashamed<br>
僳,<font color='#f00'>ㄙㄨˋ</font><br>• Lisu ethnic group of Yunnan<br>
僱,<font color='#f00'>ㄍㄨˋ</font><br>• variant of 雇[gù]<br>
僴,<big><font color='#f00' style='font-family: serif !important;'>xiàn</font></big><br>• old variant of 僩[xiàn]<br>
僵,<font color='#f00'>ㄐㄧㄤ</font><br>• rigid<br>• deadlock<br>• stiff (corpse)<br>
價,<font color='#f00'>ㄐㄧㄚˋ / ˙ㄍㄚ</font><br>• price<br>• value<br>• (chemistry) valence<br>
僻,<font color='#f00'>ㄆㄧˋ / ㄅㄟˋ</font><br>• biased<br>• low<br>• rustic<br>• secluded<br>
僾,<font color='#f00'>ㄞˋ</font><br>• indistinct<br>• hazy<br>• misty<br>• to seem<br>• to appear<br>
僿,<font color='#f00'>ㄕˋ</font><br>• small, minute<br>• lacking sincerity<br>
儀,<font color='#f00'>ㄧˊ</font><br>• apparatus<br>• rites<br>• appearance<br>• present<br>• ceremony<br>
儁,<big><font color='#f00' style='font-family: serif !important;'>jùn</font></big><br>• variant of 俊[jùn]<br>
儂,<font color='#f00'>ㄋㄨㄥˊ</font><br>• you (Wu dialect)<br>• I, me (classical)<br>
儃,<font color='#f00'>ㄔㄢˊ / ㄕㄢˋ / ㄊㄢˇ</font><br>• indecisive<br>• irresolute<br>
億,<font color='#f00'>ㄧˋ</font><br>• 100 million<br>
儅,<big><font color='#f00' style='font-family: serif !important;'>dāng</font></big><br>• stop<br>
儆,<font color='#f00'>ㄐㄧㄥˇ</font><br>• to warn<br>• to admonish<br>
儇,<font color='#f00'>ㄒㄩㄢ</font><br>• ingenious<br>• frivolous<br>
儈,<font color='#f00'>ㄎㄨㄞˋ</font><br>• broker<br>
儉,<font color='#f00'>ㄐㄧㄢˇ / ㄐㄧㄢˋ</font><br>• frugal<br>• thrifty<br>• needy<br>
儊,<big><font color='#f00' style='font-family: serif !important;'>chù</font></big><br>• rough and rugged<br>
儋,<font color='#f00'>ㄉㄢ</font><br>• carry<br>
儌,<font color='#f00'>ㄐㄧㄠˇ</font><br>• by mere luck<br>
儍,<big><font color='#f00' style='font-family: serif !important;'>shǎ</font></big><br>• variant of 傻[shǎ]<br>
儎,<big><font color='#f00' style='font-family: serif !important;'>zài</font></big><br>• load<br>• cargo<br>• old variant of 載|载[zài]<br>• to transport<br>• to deliver<br>• to bear<br>• to support<br>
儐,<font color='#f00'>ㄅㄧㄣˋ / ㄅㄧㄣ</font><br>• best man<br>• to entertain<br>
儒,<font color='#f00'>ㄖㄨˊ</font><br>• scholar<br>• Confucian<br>
儓,<font color='#f00'>ㄊㄞˊ</font><br>• servant<br>
儔,<font color='#f00'>ㄔㄡˊ</font><br>• comrades<br>• friends<br>• companions<br>
儕,<font color='#f00'>ㄔㄞˊ</font><br>• a class<br>• a company<br>• companion<br>
儗,<font color='#f00'>ㄋㄧˇ</font><br>• doubtful<br>• suspicious<br>• variant of 擬|拟[nǐ]<br>• to emulate<br>• to imitate<br>
儘,<font color='#f00'>ㄐㄧㄣˇ</font><br>• to the greatest extent<br>• (when used before a noun of location) furthest or extreme<br>• to be within the limits of<br>• to give priority to<br>
儜,<font color='#f00'>ㄋㄥˊ</font><br>• weak<br>• wearied<br>• in distress<br>
儞,<big><font color='#f00' style='font-family: serif !important;'>nǐ</font></big><br>• old variant of 你[nǐ]<br>
償,<font color='#f00'>ㄔㄤˊ</font><br>• to repay<br>• to compensate for<br>• to recompense<br>• to fulfill (hopes etc)<br>
儡,<font color='#f00'>ㄌㄟˇ</font><br>• to injure<br>• puppet<br>
儤,<font color='#f00'>ㄅㄠˋ</font><br>• on night duty<br>
儦,<font color='#f00'>ㄅㄧㄠ</font><br>• walking to and fro<br>
儩,<font color='#f00'>ㄙˋ</font><br>• the end<br>• to finish<br>
優,<font color='#f00'>ㄧㄡ</font><br>• excellent<br>• superior<br>
儭,<font color='#f00'>ㄔㄣˋ</font><br>• to assist<br>• to give alms<br>
儱,<font color='#f00'>ㄌㄨㄥˇ</font><br>• rude<br>• barbarous<br>
儲,<font color='#f00'>ㄔㄨˊ / ㄔㄨˇ</font><br>• to store<br>• to save<br>• to have in reserve<br>• heir<br>• Taiwan pr. [chú]<br>
儳,<font color='#f00'>ㄔㄢˋ</font><br>• irregular<br>• mixed<br>
儵,<font color='#f00'>ㄕㄨˋ</font><br>• variant of 倏[shū]<br>
儷,<font color='#f00'>ㄌㄧˋ</font><br>• husband and wife<br>
儸,<font color='#f00'>ㄌㄨㄛˊ</font><br>• smart<br>• clever<br>
儹,<font color='#f00'>ㄗㄢˇ</font><br>• to accumulate, to hoard, to store up<br>
儺,<font color='#f00'>ㄋㄨㄛˊ</font><br>• to exorcise demons<br>
儻,<font color='#f00'>ㄊㄤˇ</font><br>• if<br>• unexpectedly<br>
儼,<font color='#f00'>ㄧㄢˇ</font><br>• majestic<br>• dignified<br>
儽,<big><font color='#f00' style='font-family: serif !important;'>lěi</font></big><br>• lazy<br>• tired out, worn fatigued<br>
兀,<font color='#f00'>ㄨˋ</font><br>• cut off the feet<br>• rising to a height<br>• towering<br>• bald<br>
允,<font color='#f00'>ㄩㄣˇ</font><br>• just<br>• fair<br>• to permit<br>• to allow<br>
元,<font color='#f00'>ㄩㄢˊ</font><br>• currency unit (esp. Chinese yuan)<br>• first<br>• original<br>• primary<br>• fundamental<br>• constituent<br>• part<br>• era (of a reign)<br>• meta- (prefix)<br>• (math.) argument<br>• variable<br>• (Tw) (geology) eon<br>
兄,<font color='#f00'>ㄒㄩㄥ</font><br>• elder brother<br>
充,<font color='#f00'>ㄔㄨㄥ</font><br>• to fill<br>• to satisfy<br>• to fulfill<br>• to act in place of<br>• substitute<br>• sufficient<br>• full<br>
兆,<font color='#f00'>ㄓㄠˋ</font><br>• omen<br>• to foretell<br>• million<br>• mega-<br>• trillion<br>• tera-<br>• billion (old)<br>
兇,<font color='#f00'>ㄒㄩㄥ</font><br>• terrible<br>• fearful<br>
先,<font color='#f00'>ㄒㄧㄢ / ㄒㄧㄢˋ</font><br>• early<br>• prior<br>• former<br>• in advance<br>• first<br>
光,<font color='#f00'>ㄍㄨㄤ</font><br>• light<br>• ray<br>• CL:道[dào]<br>• bright<br>• only<br>• merely<br>• to use up<br>
克,<font color='#f00'>ㄎㄜˋ</font><br>• to be able to<br>• to subdue<br>• to restrain<br>• to overcome<br>• gram<br>• Tibetan unit of land area, about 6 ares<br>
兌,<font color='#f00'>ㄉㄨㄟˋ</font><br>• to cash<br>• to exchange<br>• to add (liquid)<br>• to blend<br>• one of the Eight Trigrams 八卦[bā guà], symbolizing swamp<br>• ☱<br>
免,<font color='#f00'>ㄇㄧㄢˇ / ㄨㄣˋ</font><br>• to excuse sb<br>• to exempt<br>• to remove or dismiss from office<br>• to avoid<br>• to avert<br>• to escape<br>• to be prohibited<br>
兎,<big><font color='#f00' style='font-family: serif !important;'>tù</font></big><br>• variant of 兔[tù]<br>
兒,<font color='#f00'>ㄦˊ / ㄋㄧˊ</font><br>• child<br>• son<br>
兔,<font color='#f00'>ㄊㄨˋ</font><br>• rabbit<br>
兕,<font color='#f00'>ㄙˋ</font><br>• (meaning uncertain); rhinoceros (possibly female) or bull<br>
兗,<font color='#f00'>ㄧㄢˇ</font><br>• see 兗州|兖州[Yǎn zhōu]<br>
