character,defination
㝵,<big><font color='#f00'>ài</font></big><font face='AR UDJingxihei'><br>• variant of 礙|碍[ài]<br></font>
㝵,<big><font color='#f00'>dé</font></big><font face='AR UDJingxihei'><br>• to obtain<br>• old variant of 得[dé]<br></font>
㞎,<big><font color='#f00'>bǎ</font></big><font face='AR UDJingxihei'><br>• (baby talk) poop<br>• see 㞎㞎[bǎ ba]<br></font>
㞗,<big><font color='#f00'>qiú</font></big><font face='AR UDJingxihei'><br>• (dialect) penis<br>• dick<br></font>
㞙,<big><font color='#f00'>niào</font></big><font face='AR UDJingxihei'><br>• old variant of 尿[niào]<br></font>
㞞,<big><font color='#f00'>sóng</font></big><font face='AR UDJingxihei'><br>• (coll.) semen<br>• weak and incompetent<br></font>
㟁,<big><font color='#f00'>àn</font></big><font face='AR UDJingxihei'><br>• variant of 岸[àn]<br></font>
㠀,<big><font color='#f00'>dǎo</font></big><font face='AR UDJingxihei'><br>• variant of 島|岛[dǎo]<br></font>
㠯,<big><font color='#f00'>yǐ</font></big><font face='AR UDJingxihei'><br>• old variant of 以[yǐ]<br></font>
㠶,<big><font color='#f00'>fān</font></big><font face='AR UDJingxihei'><br>• variant of 帆[fān]<br></font>
㡌,<big><font color='#f00'>mào</font></big><font face='AR UDJingxihei'><br>• old variant of 帽[mào]<br></font>
㢘,<big><font color='#f00'>lián</font></big><font face='AR UDJingxihei'><br>• old variant of 廉[lián]<br></font>
㢠,<big><font color='#f00'>jiǒng</font></big><font face='AR UDJingxihei'><br>• variant of 迥[jiǒng]<br></font>
㢲,<big><font color='#f00'>xùn</font></big><font face='AR UDJingxihei'><br>• variant of 巽[xùn]<br></font>
㢴,<big><font color='#f00'>xī</font></big><font face='AR UDJingxihei'><br>• old variant of 西[xī]<br></font>
㤅,<big><font color='#f00'>ài</font></big><font face='AR UDJingxihei'><br>• archaic variant of 愛|爱[ài]<br></font>
㤙,<big><font color='#f00'>ēn</font></big><font face='AR UDJingxihei'><br>• variant of 恩[ēn]<br></font>
